bridge_id,bauwerksart_text,baustoffklasse,laenge,breite,baujahr,traffic_dtv_latest,traffic_dtv_mean,zustandsnote,zustandsnotenklasse,gis_ort,gis_kreis,gis_bundesland,geom_x,geom_y
5221524._1,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,11.02,15.2,1998,,,2.2,2.0  -  2.4,Romrod / Zell                                     ,Vogelsbergkreis                                                                 ,HE,1025540.6777000016,6572609.179399997
5221532._1,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,29.0,14.26,1989,55521.0,53859.40909090909,2.2,2.0  -  2.4,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1032226.1766999996,6575703.8486
5221532._2,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,29.0,13.75,1989,55521.0,53859.40909090909,2.2,2.0  -  2.4,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1032226.1766999996,6575703.8486
5221549._1,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,9.74,4.4,1989,55521.0,53859.40909090909,2.0,2.0  -  2.4,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1030721.9880000018,6575108.149599999
5221549._2,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,9.65,10.77,1938,55521.0,53859.40909090909,2.8,2.5  -  2.9,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1030721.9880000018,6575108.149599999
5221549._3,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,9.65,10.77,1938,55521.0,53859.40909090909,2.3,2.0  -  2.4,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1030721.9880000018,6575108.149599999
5221549._4,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,9.74,4.4,1989,55521.0,53859.40909090909,2.2,2.0  -  2.4,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1030721.9880000018,6575108.149599999
5221553._1,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,5.62,4.35,1938,55521.0,53859.40909090909,1.6,1.5  -  1.9,bei Alsfeld                                       ,Vogelsbergkreis                                                                 ,HE,1036905.8737000003,6578371.012999997
5221553._2,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,5.62,17.1,1938,55521.0,53859.40909090909,1.8,1.5  -  1.9,bei Alsfeld                                       ,Vogelsbergkreis                                                                 ,HE,1036905.8737000003,6578371.012999997
5221553._3,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,5.62,18.15,1938,55521.0,53859.40909090909,1.8,1.5  -  1.9,bei Alsfeld                                       ,Vogelsbergkreis                                                                 ,HE,1036905.8737000003,6578371.012999997
5221553._4,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,5.62,4.1,1938,55521.0,53859.40909090909,1.7,1.5  -  1.9,bei Alsfeld                                       ,Vogelsbergkreis                                                                 ,HE,1036905.8737000003,6578371.012999997
5221555._1,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,6.3,13.9,1989,55521.0,53859.40909090909,2.0,2.0  -  2.4,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1034954.6352999992,6576649.656800002
5221555._2,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,6.3,13.9,1988,55521.0,53859.40909090909,2.2,2.0  -  2.4,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1034954.6352999992,6576649.656800002
5221556._1,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,12.33,3.5,1988,55521.0,53859.40909090909,2.0,2.0  -  2.4,Alsfeld / Altenburg                               ,Vogelsbergkreis                                                                 ,HE,1032419.8874000012,6575783.810400002
5221556._2,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,11.0,17.82,1937,55521.0,53859.40909090909,1.7,1.5  -  1.9,Alsfeld / Altenburg                               ,Vogelsbergkreis                                                                 ,HE,1032419.8874000012,6575783.810400002
